data,RR,AC,PA,BA,MA,CE,GO,PR
2021-02-05,1.0,2.0,,,,5.0,3.0,4.0
2021-02-06,1.0,4.0,5.0,,,3.0,,2.0
2021-02-07,1.0,5.0,3.0,,,2.0,,4.0
2021-02-08,1.0,4.0,5.0,,3.0,2.0,,
2021-02-09,2.0,3.0,4.0,,1.0,,,5.0
2021-02-10,1.0,5.0,4.0,,2.0,,3.0,
2021-02-11,1.0,3.0,4.0,,2.0,,5.0,
2021-02-12,1.0,2.0,4.0,5.0,3.0,,,
2021-02-13,1.0,2.0,4.0,5.0,3.0,,,
2021-02-14,1.0,2.0,4.0,5.0,3.0,,,
2021-02-15,1.0,2.0,4.0,,3.0,5.0,,
2021-02-16,1.0,3.0,2.0,,4.0,5.0,,
2021-02-17,1.0,2.0,3.0,4.0,5.0,,,
2021-02-18,1.0,2.0,3.0,4.0,5.0,,,
