data,AM,MT,MG,GO,RR,CE,PE,RJ,SE,SP,TO
2021-01-14,1.0,,,,,3.0,,4.0,5.0,,2.0
2021-01-15,1.0,,,4.0,,3.0,,5.0,,,2.0
2021-01-16,1.0,,,4.0,,3.0,,5.0,,,2.0
2021-01-17,1.0,,,3.0,,5.0,,4.0,,,2.0
2021-01-18,1.0,,,,,4.0,,3.0,,5.0,2.0
2021-01-19,1.0,,5.0,,,3.0,,4.0,,,2.0
2021-01-20,1.0,,3.0,,,5.0,,4.0,,,2.0
2021-01-21,1.0,,3.0,4.0,,,,,,5.0,2.0
2021-01-22,1.0,,3.0,,,,4.0,,,5.0,2.0
2021-01-23,1.0,5.0,3.0,4.0,,,,,,,2.0
2021-01-24,1.0,3.0,5.0,4.0,,,,,,,2.0
2021-01-25,1.0,4.0,,2.0,5.0,,,,,,3.0
2021-01-26,1.0,5.0,,3.0,2.0,,,,,,4.0
2021-01-27,1.0,2.0,3.0,4.0,5.0,,,,,,
