data,RJ,RO,AP,BA,MA,AC,AM,CE,DF,GO,MG,PA,PE,PR,RR,RS,SP,TO
2020-09-08,,,,,,,1.0,,,,3.0,4.0,,2.0,,,,5.0
2020-09-09,,,,,,,3.0,2.0,,,,4.0,,,1.0,5.0,,
2020-09-10,,,,,,3.0,,1.0,,,,,,5.0,2.0,4.0,,
2020-09-11,,,,,,1.0,,5.0,,,,4.0,,3.0,,2.0,,
2020-09-12,,,,,,2.0,,3.0,,,,4.0,5.0,,1.0,,,
2020-09-13,,,,,,1.0,,4.0,,5.0,,2.0,,,3.0,,,
2020-09-14,,,,,,1.0,,4.0,5.0,,,3.0,,,2.0,,,
2020-09-15,,5.0,,,,2.0,,1.0,,,,3.0,,,4.0,,,
2020-09-16,,3.0,,,,4.0,,1.0,,,,2.0,,,,5.0,,
2020-09-17,4.0,1.0,,,,,,,,,,2.0,3.0,,,5.0,,
2020-09-18,3.0,4.0,5.0,,,,,,,,,2.0,1.0,,,,,
2020-09-19,1.0,,4.0,,,,,,,,5.0,3.0,2.0,,,,,
2020-09-20,1.0,,3.0,,4.0,,,,,,,,2.0,,,,5.0,
2020-09-21,1.0,2.0,3.0,4.0,5.0,,,,,,,,,,,,,
