data,RJ,GO,BA,TO,DF,AM,MG,MS,PR,RO,SC
2020-08-11,,,,5.0,,2.0,3.0,4.0,,,1.0
2020-08-12,,,,3.0,,1.0,5.0,4.0,,,2.0
2020-08-13,,,,2.0,,1.0,5.0,4.0,,,3.0
2020-08-14,,,5.0,2.0,,1.0,4.0,,,,3.0
2020-08-15,,,,4.0,,1.0,2.0,,5.0,,3.0
2020-08-16,,,,4.0,,1.0,3.0,5.0,,,2.0
2020-08-17,,,5.0,,3.0,1.0,2.0,,,4.0,
2020-08-18,,,4.0,5.0,3.0,2.0,1.0,,,,
2020-08-19,,3.0,4.0,,1.0,2.0,5.0,,,,
2020-08-20,,,3.0,,1.0,2.0,5.0,4.0,,,
2020-08-21,4.0,5.0,3.0,,1.0,2.0,,,,,
2020-08-22,1.0,3.0,4.0,5.0,2.0,,,,,,
2020-08-23,1.0,5.0,4.0,3.0,2.0,,,,,,
2020-08-24,1.0,2.0,3.0,4.0,5.0,,,,,,
