data,AL,MS,MG,MT,PR,AC,AP,DF,PB,RN,RO,RR,SC
2020-12-12,,2.0,,,,3.0,,,,1.0,4.0,,5.0
2020-12-13,,2.0,,,,3.0,,,4.0,1.0,5.0,,
2020-12-14,,2.0,,,,3.0,5.0,,4.0,1.0,,,
2020-12-15,,2.0,,,,5.0,,,3.0,1.0,,4.0,
2020-12-16,,2.0,,,3.0,5.0,,,4.0,1.0,,,
2020-12-17,,3.0,,5.0,4.0,,,,2.0,1.0,,,
2020-12-18,,2.0,,,4.0,,,5.0,3.0,1.0,,,
2020-12-19,,2.0,5.0,,4.0,,,,3.0,1.0,,,
2020-12-20,,2.0,5.0,,,3.0,,,4.0,1.0,,,
2020-12-21,3.0,1.0,5.0,2.0,,,,,3.0,,,,
2020-12-22,2.0,1.0,4.0,3.0,,,,,5.0,,,,
2020-12-23,2.0,1.0,5.0,3.0,,,,,,4.0,,,
2020-12-24,1.0,2.0,3.0,4.0,,5.0,,,,,,,
2020-12-25,1.0,2.0,3.0,4.0,5.0,,,,,,,,
