data,AM,TO,MG,RJ,CE,AC,AL,GO,PA,RO,RR,SE,SP
2021-01-07,1.0,,,,,,5.0,,3.0,2.0,,4.0,
2021-01-08,1.0,3.0,,,,,,,4.0,2.0,,5.0,
2021-01-09,1.0,2.0,,4.0,,5.0,,,,3.0,,,
2021-01-10,1.0,2.0,,4.0,,,,,,3.0,,,5.0
2021-01-11,1.0,2.0,,3.0,,,,,,5.0,,4.0,
2021-01-12,1.0,2.0,,4.0,,,,,5.0,,3.0,,
2021-01-13,2.0,3.0,,4.0,5.0,,,,,,1.0,,
2021-01-14,1.0,2.0,,4.0,3.0,,,,,,,5.0,
2021-01-15,1.0,2.0,,5.0,3.0,,,4.0,,,,,
2021-01-16,1.0,2.0,,5.0,3.0,,,4.0,,,,,
2021-01-17,1.0,2.0,,4.0,5.0,,,3.0,,,,,
2021-01-18,1.0,2.0,,3.0,4.0,,,,,,,,5.0
2021-01-19,1.0,2.0,5.0,4.0,3.0,,,,,,,,
2021-01-20,1.0,2.0,3.0,4.0,5.0,,,,,,,,
