data,MS,RS,GO,AC,SC,AP,DF,MG,PR,RO,RR,TO
2020-07-18,,2.0,,,1.0,,5.0,,3.0,,,4.0
2020-07-19,5.0,2.0,,,1.0,,,,3.0,,,4.0
2020-07-20,5.0,2.0,,,1.0,,,4.0,,,,3.0
2020-07-21,4.0,2.0,,,1.0,,,,5.0,,,3.0
2020-07-22,4.0,2.0,,,1.0,,,,,5.0,,3.0
2020-07-23,3.0,5.0,,,1.0,,,,,2.0,,4.0
2020-07-24,2.0,,,,1.0,3.0,,,,4.0,,5.0
2020-07-25,2.0,,,,1.0,4.0,,,,3.0,,5.0
2020-07-26,2.0,,,,1.0,,,,,3.0,4.0,5.0
2020-07-27,2.0,,4.0,,1.0,,,,,,3.0,5.0
2020-07-28,4.0,,3.0,,2.0,,,,,5.0,1.0,
2020-07-29,3.0,,2.0,,4.0,,,,,,1.0,5.0
2020-07-30,2.0,5.0,4.0,,3.0,,,,,,1.0,
2020-07-31,1.0,2.0,3.0,4.0,5.0,,,,,,,
