data,RR,AP,RO,MT,GO,AC,AM,DF,ES,PE,PI,RJ
2021-07-28,,,,,1.0,,2.0,4.0,,5.0,,3.0
2021-07-29,4.0,,,,1.0,,3.0,,,,5.0,2.0
2021-07-30,,,,,3.0,,2.0,,5.0,,4.0,1.0
2021-07-31,,,,,3.0,,2.0,,,4.0,5.0,1.0
2021-08-01,,,,5.0,1.0,,4.0,,,3.0,,2.0
2021-08-02,,,,,3.0,4.0,,,,2.0,5.0,1.0
2021-08-03,,3.0,,,2.0,4.0,,,,5.0,,1.0
2021-08-04,,4.0,,3.0,1.0,,5.0,,,,,2.0
2021-08-05,3.0,2.0,,1.0,5.0,,,,,,,4.0
2021-08-06,2.0,1.0,,3.0,4.0,,5.0,,,,,
2021-08-07,3.0,1.0,,4.0,2.0,,,,5.0,,,
2021-08-08,1.0,2.0,,3.0,4.0,,5.0,,,,,
2021-08-09,1.0,5.0,2.0,4.0,3.0,,,,,,,
2021-08-10,1.0,2.0,3.0,4.0,5.0,,,,,,,
